			Laufnummer	Autor, Herausgeber oder Institution	Titel	Zeitschrift/Zeitung	Kategorien	Schlagwörter
1	0	1	2184	Abajobir, Amanuel Alemu; Kisely, Steve; Maravilla, Joemer Calderon; Williams, Gail; Najman, Jake Moses	Gender differences in the association between childhood sexual abuse and risky sexual behaviours	Child Abuse & Neglect	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch; 6.3 Negative Folgen	Folgen // long-term effects; Forschungsergebnisse // research results; Geschlecht // gender; Literaturreview // literature review; Risikoverhalten // risk behaviour; sexueller Kindesmissbrauch // child sexual abuse; sexuelles Verhalten // sexual behaviour
1	0	1	1712	Abajobir, Amanuel Alemu; Kisely, Steve; Williams, Gail Marilyn; Clavarino, Alexandra Marie; Najman, Jackob Moses	Substantiated Childhood Maltreatment and Intimate Partner Violence Victimization in Young Adulthood: A Birth Cohort Study	Journal of Youth and Adolescence	3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.4 Übergriff; 6.3 Negative Folgen; 7 Sexualität; 7.1 Beziehungsgestaltung	Australien // Australia; Forschungsergebnisse // research results; Gewalt in Beziehungen // dating violence; Jugend // youth; Kindesmissbrauch // child abuse; Langzeitstudie // long-term study; quantitative Forschung // quantitative research; Reviktimisierung // revictimization; Survey // survey
0	0	1	2227	Abajobir, Amanuel A.; Kisely, Steve; Williams, Gail; Strathearn, Lane; Najman, Jake M.	Risky Sexual Behaviors and Pregnancy Outcomes in Young Adulthood Following Substantiated Childhood Maltreatment: Findings From a Prospective Birth Cohort Study	The Journal of Sex Research	3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.1 Kinder; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch; 6.3 Negative Folgen; 7 Sexualität; 7.3 Sexuelle Erfahrungen	Australien // Australia; Folgen // long-term effects; Forschungsergebnisse // research results; Gewalt // violence; Kinder // children; Risikoverhalten // risk behaviour; Schwangerschaft // pregnancy; sexuelles Verhalten // sexual behaviour; Survey // survey; Vernachlässigung // neglect
1	0	0	1050	Abbott, Keeley; Ellis, Sonja J.; Abbott, Rachel	"We’ve got a lack of family values"	Sex Education	1 Sozialer Kontext; 1.4 Identitäten; 1.4.3 Schicht; 2 Institutioneller Kontext; 2.2.3 Weiterführende Schule; 3 Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Pädagogische FK; 7 Sexualität	Diskurs // discourse; Europa // Europe; Jugend // youth; Lehrer*innen // teachers; Lehrplan // curriculum; qualitative Interviews // qualitative interviews; Risiko // risk; Sexualerziehung // sex ed; Sexuelle Abstinenz // abstinence; Sexuelle Bildung // sexuality education; sexuelle Gesundheit // sexual health; Soziale Schicht // social class; soziale Ungleichheit // social inequality; Sprache // language; Vulnerabilität // vulnerability
0	0	0	2361	Abidin, Crystal	Sex Bait		3 Fokus; 3.1 Sexualpädagogik	Asien // Asia; Internet // Internet; Medien // media; Sexualerziehung // sex ed; Sexuelle Bildung // sexuality education; Singapur // Singapore
1	0	1	2183	Adjei, Jones K.; Saewyc, Elizabeth M.	Boys are not exempt	Child Abuse & Neglect	1 Sozialer Kontext; 1.1 Policies; 1.4 Identitäten; 1.4.1 Gender; 3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.2 Selbstbestimmung	Afrika // Africa; Forschungsergebnisse // research results; Gesundheit // health; international // international; Jugend // youth; Jungen // boys; Policies // policies; Prävention // prevention; Prostitution // prostitution; Risikoverhalten // risk behaviour; sexuelle Gesundheit // sexual health; sexuelles Verhalten // sexual behaviour
1	0	1	2046	Ahern, Elizabeth C.; Sadler, Leslie H.; Lamb, Michael E.; Gariglietti, Gianna M.	Wellbeing of Professionals Working with Suspected Victims of Child Sexual Exploitation	Child Abuse Review	2 Institutioneller Kontext; 4 Fachkräfte; 4.1 Pädagogische FK; 4.2 Extern; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch; 6.3 Negative Folgen; 6.4 Resilienz; 6.5 Disclosure	Aufdeckung // disclosure; Bewältigung // coping; Europa // Europe; Forschungsergebnisse // research results; Großbritannien // Great Britain; sexueller Kindesmissbrauch // child sexual abuse; Soziale Arbeit // social work; Survey // survey
0	0	0	1268	Airton, Lee	Hatred Haunting Hallways		1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.3 Weiterführende Schule; 4 Fachkräfte; 4.1 Pädagogische FK; 6 Gewalt; 6.2 Art; 6.2.5 Diskriminierung	Homofeindlichkeit // homophobia; Lehrer*innen // teachers; Schule // school; Schulklima // school climate
1	0	1	2331	Airton, Lee	The de/politicization of pronouns	Gender and Education	1 Sozialer Kontext; 1.1 Policies; 1.2 Diskurse; 1.3 Medien und Technologie; 1.4 Identitäten; 1.4.2 LGBT; 6 Gewalt; 6.2 Art; 6.2.5 Diskriminierung	Diskursanalyse // discourse analysis; Forschungsergebnisse // research results; Kanada // Canada; Medien // media; Medienanalyse // media analysis; Nordamerika // North America; Policies // policies; Politik // politics; queer // queer; Soziale Medien // social media; Theorie // theory; trans*ident // trans*
1	0	0	1034	Albury, Kath	Young people, media and sexual learning	Sex Education	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Pädagogische FK; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.1 Beziehungsgestaltung; 7.2 Selbstbestimmung; 7.3 Sexuelle Erfahrungen	Australien // Australia; Jugend // youth; Medien // media; Methodologie // methodology; Pädagogische Fachkräfte // pedagogial staff; qualitative Interviews // qualitative interviews; Sexuelle Bildung // sexuality education; Theorie // theory
1	0	1	778	Alessi, Edward J.; Kahn, Sarilee; Chatterji, Sangeeta	`The darkest times of my life’	Child Abuse & Neglect	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 1.4.4 Ethnizität; 5 Adressat_innen; 5.1 Kinder; 5.2 Jugendliche; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch	Jugend // youth; Kinder- und Jugendschutz // child protection; Kindesmissbrauch // child abuse; Migration // migration; Nordamerika // North America; qualitative Interviews // qualitative interviews; queer // queer; sexueller Kindesmissbrauch // child sexual abuse; Vergewaltigung // rape
0	0	0	1878	Ali, Mir M.; Dwyer, Debra S.	Estimating peer effects in sexual behavior among adolescents	Journal of Adolescence	3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.1 Beziehungsgestaltung; 7.3 Sexuelle Erfahrungen	Forschungsergebnisse // research results; Jugend // youth; Peergruppe // peer group; sexuelles Verhalten // sexual behaviour
0	0	1	1554	Alix, Stephanie; Cossette, Louise; Hebert, Martine; Cyr, Mireille; Frappier, Jean-Yves	Posttraumatic Stress Disorder and Suicidal Ideation Among Sexually Abused Adolescent Girls	Journal of Child Sexual Abuse	5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch; 6.3 Negative Folgen	Folgen // long-term effects; Forschungsergebnisse // research results; Mädchen // girls; Nordamerika // North America; Selbstmord // suicide; sexueller Kindesmissbrauch // child sexual abuse; Survey // survey; Trauma // trauma; USA // USA
