			Laufnummer	Autor, Herausgeber oder Institution	Titel	Zeitschrift/Zeitung	Kategorien	Schlagwörter
0	0	0	3	Postmus, Judy L.	Sexual Violence and Abuse		3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 6 Gewalt; 6.2 Art; 6.2.1 Belästigung; 6.2.2 Missbrauch; 6.2.3 Vergewaltigung; 6.2.4 Übergriff; 6.3 Negative Folgen; 6.4 Resilienz; 6.5 Disclosure	Folgen // long-term effects; Prävention // prevention; sexuelle Gewalt // sexual violence; sexueller Kindesmissbrauch // child sexual abuse
0	0	0	5	Henry, Nicola; Powell, Anastasia	Preventing sexual violence		1 Sozialer Kontext; 1.1 Policies; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 6 Gewalt; 6.2 Art; 6.2.3 Vergewaltigung; 8 Forschung; 8.2 Theorie	Prävention // prevention; sexuelle Gewalt // sexual violence; Vergewaltigung // rape
0	0	0	184	Henry, Olivia; Mandeville-Norden, Rebecca; Hayes, Elizabeth; Egan, Vincent	Do internet-based sexual offenders reduce to normal, inadequate and deviant groups?	Journal of Sexual Aggression	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 8 Forschung; 8.4 Ergebnisse	Internet; Pädosexualität // pedosexuality; Täter*in // offender
0	0	0	185	O'Halloran, Elaine; Quayle, Ethel	A content analysis of a “boy love” support forum	Journal of Sexual Aggression	1 Sozialer Kontext; 1.3 Medien und Technologie; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch; 6.3 Negative Folgen	Internet; Pädosexualität // pedosexuality; sexueller Kindesmissbrauch // child sexual abuse; soziale Unterstützung // social support; Täter*in // offender
0	0	0	186	Glasgow, David	The potential of digital evidence to contribute to risk assessment of internet offenders	Journal of Sexual Aggression	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene	Internet; Pornografie // pornography; Risiko // risk; Täter*in // offender
0	0	0	188	Sheehan, Valerie; Sullivan, Joe	A qualitative analysis of child sex offenders involved in the manufacture of indecent images of children	Journal of Sexual Aggression	1 Sozialer Kontext; 1.3 Medien und Technologie; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch	Kinderpornographie // child pornography; Pädosexualität // pedosexuality; sexueller Kindesmissbrauch // child sexual abuse; Täter*in // offender
0	0	0	189	Buschman, Jos; Wilcox, Dan; Krapohl, Donald; Oelrich, Marty; Hackett, Simon	Cybersex offender risk assessment. An explorative study	Journal of Sexual Aggression	1 Sozialer Kontext; 1.3 Medien und Technologie; 1.4 Identitäten; 1.4.1 Gender; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 8 Forschung; 8.4 Ergebnisse	Internet; Männer // men; Pädosexualität // pedosexuality; Risiko // risk; sexuelles Verhalten // sexual behaviour; Täter*in // offender
0	0	0	190	Weiler, Julia von; Haardt-Becker, Annette; Schulte, Simone	Care and treatment of child victims of child pornographic exploitation (CPE) in Germany	Journal of Sexual Aggression	1 Sozialer Kontext; 1.3 Medien und Technologie; 5 Adressat_innen; 5.1 Kinder; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch; 6.3 Negative Folgen	Behandlung // treatment; Betroffene // survivors; Europa // Europe; Kinder // children; Kinderpornographie // child pornography; sexueller Kindesmissbrauch // child sexual abuse
0	0	0	191	Elliott, Ian A.; Findlater, Donald; Hughes, Teresa	Practice report	Journal of Sexual Aggression	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.1 Kinder; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch	Internet; Sicherheit // safety; Täter*in // offender; Übersicht // review
0	0	0	193	Willis, Gwenda M.; Ward, Tony	Striving for a good life	Journal of Sexual Aggression	6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch	Behandlung // treatment; sexueller Kindesmissbrauch // child sexual abuse; Täter*in // offender
0	0	0	194	Marshall, W. L.; Marshall, L. E.; Kingston, Drew A.	Are the cognitive distortions of child molesters in need of treatment?	Journal of Sexual Aggression	3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch	Behandlung // treatment; sexueller Kindesmissbrauch // child sexual abuse; Täter*in // offender
0	0	0	195	Ó Ciardha, Caoilte; Gannon, Theresa A.	The cognitive distortions of child molesters are in need of treatment	Journal of Sexual Aggression	6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch	Behandlung // treatment; sexueller Kindesmissbrauch // child sexual abuse; Täter*in // offender
0	0	0	196	Geary, Jan; Lambie, Ian; Seymour, Fred	Consumer perspectives of New Zealand community treatment programmes for sexually abusive youth	Journal of Sexual Aggression	3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.2 Missbrauch; 8 Forschung; 8.4 Ergebnisse	Behandlung // treatment; jugendliche Täter*innen // adolescent sex offender
0	0	0	197	Rogers, Paul; Wczasek, Ryan; Davies, Michelle	Attributions of blame in a hypothetical internet solicitation case	Journal of Sexual Aggression	1 Sozialer Kontext; 1.3 Medien und Technologie; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch	Einstellungen // attitudes; Eltern // parents; Gesellschaft // society; Internet; Nordamerika // North America; sexueller Kindesmissbrauch // child sexual abuse
0	0	0	198	McCartan, Fiona Mairead; Law, Heather; Murphy, Maeve; Bailey, Susan	Child and adolescent females who present with sexually abusive behaviours	Journal of Sexual Aggression	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.4 Übergriff; 8 Forschung; 8.4 Ergebnisse	Jugend // youth; jugendliche Täter*innen // adolescent sex offender; Mädchen // girls; sexuelles Verhalten // sexual behaviour
0	0	0	199	Slotboom, Anne-Marie; Hendriks, Jan; Verbruggen, Janna	Contrasting adolescent female and male sexual aggression	Journal of Sexual Aggression	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.4 Übergriff; 7 Sexualität; 7.3 Sexuelle Erfahrungen	Einstellungen // attitudes; Europa // Europe; Geschlechterrolle // gender role; Jugend // youth; jugendliche Täter*innen // adolescent sex offender; Prävalenz // prevalence; sexuelle Erfahrung // sexual experience
