			Autor, Herausgeber oder Institution	Jahr ermittelt	Dokumententyp	Zeitschrift/Zeitung	Titel	Kategorien	Schlagwörter	Laufnummer
0	0	0	Atkinson, Chris; Newton, David	2010	Zeitschriftenaufsatz	Journal of Sexual Aggression	Online behaviours of adolescents	1 Sozialer Kontext; 1.3 Medien und Technologie; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.2 Art; 6.2.4 Übergriff	Internet; Jugendliche und junge Erwachsene; Opfer // victim; Täter*in // offender	1178
1	0	0	Babatsikos, Georgia	2010	Zeitschriftenaufsatz	Child Abuse Review	Parents' knowledge, attitudes and practices about preventing child sexual abuse	1 Sozialer Kontext; 1.2 Diskurse; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.3 Eltern; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch; 8 Forschung; 8.3 Methodologie	Einstellungen // attitudes; Eltern; Prävention // prevention; sexueller Kindesmissbrauch	887
0	0	0	Bauermeister, José A.; Johns, Michelle Marie; Sandfort, Theo G. M.; Eisenberg, Anna; Grossman, Arnold H.; D'Augelli, Anthony R.	2010	Zeitschriftenaufsatz	Journal of Youth and Adolescence	Relationship trajectories and psychological well-being among sexual minority youth	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 1.4.2 LGBT; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.1 Beziehungsgestaltung	Beziehungsgestaltung // relationships; Jugendliche und junge Erwachsene; Psychische Gesundheit; sexuelle Minderheit // sexual minority	1779
0	0	0	Baumgartner, Susanne E.; Valkenburg, Patti M.; Peter, Jochen	2010	Zeitschriftenaufsatz	Journal of Youth and Adolescence	Assessing causality in the relationship between adolescents' risky sexual online behavior and their perceptions of this behavior	1 Sozialer Kontext; 1.3 Medien und Technologie; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.3 Sexuelle Erfahrungen; 8 Forschung; 8.4 Ergebnisse	Internet; Jugendliche und junge Erwachsene; Risiko // risk; Risikoverhalten // risk behavior; sexuelles Verhalten // sexual behaviour	1782
0	0	0	Buschman, Jos; Wilcox, Dan; Krapohl, Donald; Oelrich, Marty; Hackett, Simon	2010	Zeitschriftenaufsatz	Journal of Sexual Aggression	Cybersex offender risk assessment. An explorative study	1 Sozialer Kontext; 1.3 Medien und Technologie; 1.4 Identitäten; 1.4.1 Gender; 3 Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 8 Forschung; 8.4 Ergebnisse	Internet; Männer // men; Pädosexualität // pedosexuality; Risiko // risk; sexuelles Verhalten // sexual behaviour; Täter*in // offender	189
0	0	0	Casey, Erin A.; Beadnell, Blair	2010	Zeitschriftenaufsatz	Journal of Youth and Adolescence	The structure of male adolescent peer networks and risk for intimate partner violence perpetration: findings from a national sample	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 7 Sexualität; 7.1 Beziehungsgestaltung; 8 Forschung; 8.4 Ergebnisse	Gewalt in Beziehngen // dating violence; jugendliche Täter*innen // adolescent sex offender; Jugendliche und junge Erwachsene; Peers	1775
0	0	0	Chapleau, Kristine M.; Oswald, Debra L.	2010	Zeitschriftenaufsatz	The Journal of Sex Research	Power, Sex, and Rape Myth Acceptance	1 Sozialer Kontext; 1.2 Diskurse; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.5 Universität; 6 Gewalt; 6.2 Art; 6.2.3 Vergewaltigung	Macht // power; Rape Culture; Vergewaltigung // rape	725
1	0	0	Cocker, Christine; Hafford-Letchfield, Trish	2010	Zeitschriftenaufsatz	The British Journal of Social Work	Out and Proud? Social Work's Relationship with Lesbian and Gay Equality	1 Sozialer Kontext; 1.1 Policies; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.6 Jugendamt; 4 Fachkräfte; 4.1 Intern	Homosexualität; queer; Sexualität // sexuality; Soziale Arbeit und Dienste // social work and services	757
0	0	0	Comartin, Erin B.; Kernsmith, Poco D.; Miles, Bart W.	2010	Zeitschriftenaufsatz	Journal of Child Sexual Abuse	Family experiences of young adult sex offender registration	1 Sozialer Kontext; 1.1 Policies; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 5.3 Eltern; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer	Criminals/legislation & jurisprudence/psychology; Erwachsene; Family/psychology; Female; Focus Groups; Humans; Kinder; Male; Mandatory Reporting; Qualitative Research; Self Concept; Sex Offenses/legislation & jurisprudence/psychology; Social Support; United States	1617
0	0	0	Cox, Nele; Vanden Berghe, Wim; Dewaele, Alexis; Vincke, John	2010	Zeitschriftenaufsatz	Journal of Youth and Adolescence	Acculturation strategies and mental health in gay, lesbian, and bisexual youth	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 8 Forschung; 8.4 Ergebnisse	Bisexualität // bisexuality; Jugendliche und junge Erwachsene; lesbisch // lesbian; Psychische Gesundheit; schwul // gay; sexuelle Minderheit // sexual minority	1781
