Keyword	Occurrence
Jugend	333
youth	333
sexueller Kindesmissbrauch	211
child sexual abuse	211
Nordamerika	150
North America	150
Kinder	142
children	142
sexuelle Minderheit	107
sexual minority	107
Sexuelle Bildung	104
sexuality education	104
sexuelles Verhalten	98
sexual behaviour	98
Europa	94
Europe	94
Schule	89
school	89
Internet	84
Sexualit\"at	74
sexuality	74
Geschlecht	69
gender	69
T\"ater*in	67
offender	67
Risiko	63
risk	63
sexuelle Gewalt	61
sexual violence	61
Vergewaltigung	57
rape	57
Mentale Gesundheit	57
mental health	57
Pr\"avention	54
prevention	54
Behinderung	51
disability	51
Eltern	50
parents	50
Soziale Schicht	49
social class	49
Lehrer*innen	45
Teachers	45
M\"anner	45
men	45
Risikofaktoren	44
risk factors	44
M\"annlichkeit	42
masculinity	42
Schulklima	41
school climate	41
Diskurs	39
discourse	39
jugendliche T\"ater*innen	39
adolescent sex offender	39
M\"adchen	37
girls	37
Sozialisation	37
socialization	37
Einstellungen	35
attitudes	35
Medien	35
media	35
Risikoverhalten	35
risk behaviour	35
Erwachsene	35
adults	35
schwul	34
gay	34
Qualitative Interviews	34
Mobbing	34
bullying	34
Student*innen	33
college students	33
Ethnizit\"at	33
ethnicity	33
Survey	33
sexuelle Gesundheit	31
sexual health	31
Australien	31
Australia	31
P\"adagogische Fachkr\"afte	30
Vulnerabilit\"at	30
vulnerability	30
Sch\"uler*innen	30
pupils	30
Familie	30
family	30
Gewalt in Beziehungen	30
dating violence	30
lesbisch	29
lesbian	29
Professionalit\"at	29
professionality	29
trans*ident	29
trans*	29
Sprache	28
language	28
Behandlung	27
treatment	27
Bisexualit\"at	27
bisexuality	27
soziale Ungleichheit	27
social inequality	27
Strafrecht	27
criminal justice	27
Betroffene	27
survivors	27
Beziehungsgestaltung	27
relationships	27
Geschlechterrolle	27
gender role	27
Jungen	27
boys	27
Peers	27
Heteronormativit\"at	26
heteronormativity	26
Policies	26
Drogenkonsum	26
substance consumption	26
\"Ubersicht	25
review	25
Disclosure	25
Pornografie	25
pornography	25
Homofeindlichkeit	24
homophobia	24
Sexualerziehung	23
sex ed	23
Verh\"utung	23
contraception	23
Universit\"at	23
college	23
sexuelle Erfahrung	22
sexual experience	22
Sexualethik	22
sexual ethics	22
Sexuell \"ubertragbare Infektionen	21
sexually transmitted infections	21
Curriculum	21
Homosexualit\"at	21
homosexuality	21
Trauma	21
Identit\"at	21
identity	21
Selbstbestimmung	20
agency	20
sexuelle Bel\"astigung	20
sexual harassment	20
Sexuelle Orientierung	20
sexual orientation	20
soziale Unterst\"utzung	19
social support	19
Ethnographie	18
ethnography	18
